County,2020 Pop,2021 Pop,2022 Pop,2023 Pop,2024 Pop,2020-2024 Pop Change
Aitkin,"15,714","15,951","16,142","16,139","16,335",3.95
Anoka,"364,502","367,835","369,479","373,090","376,840",3.38
Becker,"35,205","35,348","35,387","35,330","35,444",0.68
Beltrami,"46,246","46,477","46,440","46,635","46,762",1.12
Benton,"41,358","41,538","41,570","41,617","41,881",1.26
Big Stone,"5,160","5,169","5,145","5,095","5,067",-1.80
Blue Earth,"69,196","69,382","69,681","70,396","70,700",2.17
Brown,"25,911","25,896","25,786","25,699","25,710",-0.78
Carlton,"36,187","36,442","36,501","36,717","36,745",1.54
Carver,"107,307","108,873","110,215","111,180","112,628",4.96
Cass,"30,162","30,677","31,287","31,393","31,442",4.24
Chippewa,"12,610","12,378","12,335","12,265","12,299",-2.47
Chisago,"56,718","57,556","57,918","58,657","59,105",4.21
Clay,"65,359","65,674","65,989","66,425","66,848",2.28
Clearwater,"8,566","8,568","8,636","8,680","8,630",0.75
Cook,"5,599","5,632","5,732","5,643","5,571",-0.50
Cottonwood,"11,521","11,600","11,416","11,417","11,338",-1.59
Crow Wing,"66,285","67,355","67,862","68,286","68,642",3.56
Dakota,"440,436","442,784","443,982","448,495","453,156",2.89
Dodge,"20,888","20,954","21,027","21,113","21,242",1.69
Douglas,"39,093","39,312","39,665","39,874","39,933",2.15
Faribault,"13,896","13,905","13,957","13,926","13,886",-0.07
Fillmore,"21,245","21,335","21,475","21,512","21,502",1.21
Freeborn,"30,891","30,803","30,674","30,433","30,314",-1.87
Goodhue,"47,579","48,049","48,055","48,050","47,982",0.85
Grant,"6,090","6,147","6,134","6,155","6,109",0.31
Hennepin,"1,281,722","1,270,232","1,258,981","1,263,210","1,273,334",-0.65
Houston,"18,823","18,796","18,715","18,577","18,352",-2.50
Hubbard,"21,389","21,744","21,925","22,045","22,050",3.09
Isanti,"41,390","41,964","42,725","43,212","43,687",5.55
Itasca,"45,043","45,113","45,258","45,518","45,442",0.89
Jackson,"9,990","10,003","9,905","9,904","9,861",-1.29
Kanabec,"16,058","16,179","16,465","16,639","16,608",3.43
Kandiyohi,"43,723","43,818","43,904","44,277","44,674",2.18
Kittson,"4,190","4,162","4,058","4,020","3,992",-4.73
Koochiching,"12,032","11,945","11,846","11,750","11,594",-3.64
Lac Qui Parle,"6,700","6,703","6,688","6,684","6,636",-0.96
Lake,"10,911","11,006","10,919","10,861","10,698",-1.95
Lake of the Woods,"3,770","3,831","3,902","3,804","3,797",0.72
Le Sueur,"28,648","28,918","29,205","29,334","29,458",2.83
Lincoln,"5,639","5,593","5,626","5,594","5,564",-1.33
Lyon,"25,426","25,495","25,513","25,503","25,577",0.59
McLeod,"36,751","36,819","36,791","36,850","36,780",0.08
Mahnomen,"5,391","5,415","5,354","5,332","5,296",-1.76
Marshall,"9,043","9,013","8,890","8,822","8,771",-3.01
Martin,"19,993","19,933","19,687","19,728","19,561",-2.16
Meeker,"23,433","23,403","23,526","23,485","23,491",0.25
Mille Lacs,"26,456","26,903","27,270","27,418","27,577",4.24
Morrison,"34,003","34,072","34,284","34,366","34,520",1.52
Mower,"40,062","40,229","40,174","40,352","40,900",2.09
Murray,"8,166","8,135","8,051","8,087","8,044",-1.49
Nicollet,"34,498","34,361","34,381","34,320","34,493",-0.01
Nobles,"22,207","22,076","22,030","21,921","21,969",-1.07
Norman,"6,436","6,443","6,354","6,318","6,284",-2.36
Olmsted,"163,041","163,755","164,151","165,119","166,424",2.07
Otter Tail,"60,068","60,206","60,530","60,687","60,884",1.36
Pennington,"13,950","13,790","13,832","13,732","13,652",-2.14
Pine,"28,891","29,410","29,458","30,124","30,319",4.94
Pipestone,"9,414","9,352","9,320","9,235","9,100",-3.34
Polk,"31,081","30,831","30,760","30,438","30,413",-2.15
Pope,"11,330","11,418","11,429","11,419","11,495",1.46
Ramsey,"551,739","544,068","538,430","538,474","542,015",-1.76
Red Lake,"3,942","3,949","3,888","3,913","3,882",-1.52
Redwood,"15,422","15,394","15,362","15,320","15,254",-1.09
Renville,"14,686","14,600","14,540","14,509","14,453",-1.59
Rice,"67,100","67,344","67,696","68,420","69,025",2.87
Rock,"9,687","9,697","9,596","9,601","9,525",-1.67
Roseau,"15,310","15,284","15,359","15,293","15,265",-0.29
Saint Louis,"200,083","199,522","199,598","200,618","200,794",0.36
Scott,"151,356","153,633","154,606","155,986","157,206",3.87
Sherburne,"97,589","99,220","100,617","102,313","103,059",5.61
Sibley,"14,801","14,935","14,964","15,131","15,194",2.66
Stearns,"158,488","159,222","160,556","162,060","163,997",3.48
Steele,"37,381","37,432","37,470","37,476","37,434",0.14
Stevens,"9,664","9,687","9,692","9,834","9,819",1.60
Swift,"9,816","9,800","9,774","9,686","9,666",-1.53
Todd,"25,290","25,289","25,568","25,773","25,955",2.63
Traverse,"3,360","3,280","3,261","3,175","3,134",-6.73
Wabasha,"21,399","21,512","21,654","21,685","21,574",0.82
Wadena,"14,120","14,146","14,284","14,293","14,437",2.25
Waseca,"18,955","18,997","18,884","18,905","18,684",-1.43
Washington,"268,400","272,904","276,530","279,398","283,960",5.80
Watonwan,"11,238","11,161","11,245","11,179","11,204",-0.30
Wilkin,"6,480","6,413","6,363","6,330","6,268",-3.27
Winona,"49,672","49,819","49,585","49,846","49,973",0.61
Wright,"141,875","145,209","148,218","151,452","154,593",8.96
Yellow Medicine,"9,490","9,437","9,484","9,471","9,373",-1.23
